,datum,M01AB,M01AE,N02BA,N02BE,N05B,N05C,R03,R06,Year,Month,Hour,Weekday Name
83,3/26/2014,2.34,3.99,9.0,6.7,7.0,3.0,3.0,0.0,2014,3,276,Wednesday
84,3/27/2014,4.0,0.33,2.0,20.7,6.0,1.0,1.0,5.0,2014,3,276,Thursday
85,3/28/2014,2.67,2.0,8.0,11.0,3.0,0.0,9.0,5.0,2014,3,276,Friday
86,3/29/2014,4.0,6.33,4.2,24.0,8.0,2.0,9.0,3.0,2014,3,276,Saturday
87,3/30/2014,3.0,2.34,0.0,12.0,4.0,0.0,0.0,7.0,2014,3,276,Sunday
88,3/31/2014,5.34,2.34,4.0,15.4,6.0,1.0,4.0,6.0,2014,3,276,Monday
89,4/1/2014,4.34,1.34,6.5,27.5,5.0,3.0,3.0,1.0,2014,4,276,Tuesday
90,4/2/2014,2.0,4.68,8.9,23.0,1.0,0.0,7.0,3.0,2014,4,276,Wednesday
91,4/3/2014,1.0,1.34,3.0,19.2,4.0,0.0,0.0,4.0,2014,4,276,Thursday
92,4/4/2014,3.0,3.67,3.0,24.0,9.0,3.0,8.0,2.0,2014,4,276,Friday
93,4/5/2014,2.0,7.68,10.0,25.6,5.0,0.0,5.0,3.0,2014,4,276,Saturday
94,4/6/2014,2.0,1.0,1.0,19.0,1.0,0.0,0.0,1.0,2014,4,276,Sunday
95,4/7/2014,6.34,6.0,6.5,31.5,4.0,0.0,0.0,1.0,2014,4,276,Monday
96,4/8/2014,4.34,2.34,1.7,19.0,6.0,1.0,0.0,4.7,2014,4,276,Tuesday
97,4/9/2014,6.0,1.02,1.0,18.0,2.0,1.0,2.0,2.6,2014,4,276,Wednesday
98,4/10/2014,3.33,1.68,1.0,18.0,10.0,0.0,4.0,4.0,2014,4,276,Thursday
99,4/11/2014,6.0,4.0,3.0,25.0,2.0,2.0,0.0,2.0,2014,4,276,Friday
100,4/12/2014,7.02,3.34,6.0,23.5,19.0,0.0,11.0,4.0,2014,4,276,Saturday
101,4/13/2014,3.0,2.0,2.0,6.0,3.0,0.0,5.0,2.0,2014,4,276,Sunday
102,4/14/2014,1.34,4.68,5.35,28.28,10.0,0.0,5.0,5.0,2014,4,276,Monday
103,4/15/2014,4.34,3.0,6.4,18.7,12.0,0.0,10.0,1.0,2014,4,276,Tuesday
104,4/16/2014,2.0,1.01,4.2,25.62,1.0,0.0,6.0,4.0,2014,4,276,Wednesday
105,4/17/2014,5.34,0.34,7.2,16.0,19.0,0.0,0.0,0.0,2014,4,276,Thursday
106,4/18/2014,7.0,7.0,8.0,23.3,10.0,1.0,0.0,5.0,2014,4,276,Friday
107,4/19/2014,7.34,3.35,4.0,22.3,7.0,0.0,3.0,5.0,2014,4,276,Saturday
108,4/20/2014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,4,276,Sunday
109,4/21/2014,1.34,1.68,2.1,13.5,8.0,0.0,0.0,1.0,2014,4,276,Monday
110,4/22/2014,5.34,7.165,3.3,32.0,8.0,1.0,0.0,1.0,2014,4,276,Tuesday
111,4/23/2014,6.34,2.34,3.0,24.9,8.0,1.0,2.0,1.0,2014,4,276,Wednesday
112,4/24/2014,2.0,2.0,1.1,26.0,6.0,0.0,6.0,2.0,2014,4,276,Thursday
113,4/25/2014,3.0,2.02,5.0,24.9,10.0,1.0,1.0,3.0,2014,4,276,Friday
114,4/26/2014,4.34,2.67,5.5,35.0,12.0,1.0,6.0,4.0,2014,4,276,Saturday
115,4/27/2014,4.0,2.34,2.0,26.2,2.0,0.0,1.0,1.0,2014,4,276,Sunday
116,4/28/2014,1.34,3.09,3.0,29.1,8.0,2.0,0.0,2.0,2014,4,276,Monday
117,4/29/2014,3.33,4.02,4.4,30.3,6.0,1.0,5.0,0.4,2014,4,276,Tuesday
118,4/30/2014,4.34,2.68,7.0,43.1,11.0,0.0,7.0,4.0,2014,4,276,Wednesday
119,5/1/2014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,5,276,Thursday
120,5/2/2014,7.34,7.34,6.3,39.5,16.0,1.0,12.0,2.0,2014,5,276,Friday
121,5/3/2014,4.0,5.34,2.0,14.6,5.0,2.0,0.0,2.5,2014,5,276,Saturday
122,5/4/2014,1.67,4.69,1.2,20.0,3.0,0.0,0.0,3.0,2014,5,276,Sunday
123,5/5/2014,3.0,5.785,5.0,20.0,7.0,0.0,3.0,4.0,2014,5,276,Monday
124,5/6/2014,7.34,4.36,4.0,22.0,10.0,2.0,6.0,5.0,2014,5,276,Tuesday
125,5/7/2014,3.33,6.32,3.0,16.8,8.0,1.0,3.0,11.0,2014,5,276,Wednesday
126,5/8/2014,2.0,2.34,3.4,20.4,10.0,3.0,0.0,5.0,2014,5,276,Thursday
127,5/9/2014,2.0,5.0,4.2,16.0,12.0,2.0,1.0,2.0,2014,5,276,Friday
128,5/10/2014,5.0,6.0,9.0,39.4,15.0,3.0,1.0,5.0,2014,5,276,Saturday
129,5/11/2014,2.0,2.68,1.0,17.0,7.0,0.0,1.0,4.0,2014,5,276,Sunday
130,5/12/2014,4.34,3.34,9.0,12.0,8.0,0.0,5.0,2.0,2014,5,276,Monday
131,5/13/2014,3.68,0.34,6.2,32.0,7.0,0.0,25.0,7.5,2014,5,276,Tuesday
132,5/14/2014,1.0,4.02,6.0,24.3,4.0,0.0,0.0,3.0,2014,5,276,Wednesday
133,5/15/2014,2.34,2.02,3.0,19.3,7.0,0.0,1.0,2.0,2014,5,276,Thursday
134,5/16/2014,5.34,7.0,3.0,22.0,10.0,1.0,11.0,1.0,2014,5,276,Friday
135,5/17/2014,2.34,7.68,3.0,35.0,14.0,1.0,0.0,2.0,2014,5,276,Saturday
136,5/18/2014,3.34,2.0,5.0,9.4,6.0,0.0,0.0,1.0,2014,5,276,Sunday
137,5/19/2014,8.34,3.84,6.1,12.8,5.0,0.0,3.0,9.0,2014,5,276,Monday
138,5/20/2014,1.0,2.375,7.0,27.0,10.0,1.0,0.0,3.6,2014,5,276,Tuesday
139,5/21/2014,2.0,4.68,9.5,15.4,6.0,1.0,0.0,3.0,2014,5,276,Wednesday
140,5/22/2014,3.68,1.33,1.2,8.0,8.0,0.0,2.0,4.0,2014,5,276,Thursday
141,5/23/2014,5.0,2.34,3.9,17.5,8.0,2.0,10.0,7.0,2014,5,276,Friday
142,5/24/2014,3.0,4.713,5.0,28.0,11.0,1.0,0.0,9.0,2014,5,276,Saturday
143,5/25/2014,2.0,3.0,1.0,7.0,8.0,0.0,5.0,1.0,2014,5,276,Sunday
144,5/26/2014,2.68,3.34,7.4,18.0,7.0,1.0,0.0,5.0,2014,5,276,Monday
145,5/27/2014,0.0,2.34,5.0,28.6,12.0,1.0,1.0,6.0,2014,5,276,Tuesday
146,5/28/2014,1.34,5.02,1.4,10.28,9.0,0.0,2.0,5.1,2014,5,276,Wednesday
147,5/29/2014,4.0,5.34,6.3,27.0,13.0,0.0,0.0,2.0,2014,5,276,Thursday
148,5/30/2014,3.02,2.02,2.0,21.5,14.0,0.0,0.0,5.0,2014,5,276,Friday
149,5/31/2014,5.67,3.34,2.0,28.0,10.0,0.0,15.0,2.0,2014,5,276,Saturday
150,6/1/2014,1.0,0.68,1.0,10.0,4.0,1.0,1.0,3.0,2014,6,276,Sunday
151,6/2/2014,4.0,4.34,10.0,23.3,16.0,3.0,0.0,3.0,2014,6,276,Monday
152,6/3/2014,3.0,2.0,2.4,24.0,7.0,2.0,5.0,3.0,2014,6,276,Tuesday
153,6/4/2014,1.0,4.68,3.5,24.0,6.0,0.0,1.0,2.5,2014,6,276,Wednesday
154,6/5/2014,0.34,4.68,4.5,22.5,4.0,0.0,0.0,5.0,2014,6,276,Thursday
155,6/6/2014,5.0,1.68,3.0,16.625,15.0,2.0,1.0,5.0,2014,6,276,Friday
156,6/7/2014,9.0,3.68,7.5,33.0,8.0,1.0,6.0,7.0,2014,6,276,Saturday
157,6/8/2014,1.0,2.0,3.0,11.0,8.0,0.0,6.0,2.0,2014,6,276,Sunday
158,6/9/2014,6.33,1.34,5.0,18.0,17.0,4.0,0.0,11.0,2014,6,276,Monday
159,6/10/2014,8.68,2.68,4.3,23.0,16.0,2.0,2.0,6.5,2014,6,276,Tuesday
160,6/11/2014,4.34,0.68,2.3,12.5,16.0,2.0,12.0,9.0,2014,6,276,Wednesday
161,6/12/2014,4.34,3.0,1.0,15.8,12.0,0.0,2.0,3.0,2014,6,276,Thursday
162,6/13/2014,1.0,2.68,5.0,10.0,11.0,0.0,3.0,1.0,2014,6,276,Friday
163,6/14/2014,4.0,5.02,6.0,8.0,10.0,0.0,1.0,3.0,2014,6,276,Saturday
164,6/15/2014,0.34,2.0,0.0,8.0,5.0,0.0,0.0,3.3,2014,6,276,Sunday
165,6/16/2014,4.34,4.34,7.4,12.2,11.0,0.0,5.0,5.0,2014,6,276,Monday
166,6/17/2014,5.0,2.34,4.0,14.0,12.0,2.0,0.0,3.0,2014,6,276,Tuesday
167,6/18/2014,2.0,2.0,4.7,18.0,6.0,0.0,1.0,3.0,2014,6,276,Wednesday
168,6/19/2014,3.0,3.33,1.0,14.0,8.0,0.0,0.0,1.0,2014,6,276,Thursday
169,6/20/2014,7.34,2.02,3.0,14.5,9.0,0.0,3.0,6.0,2014,6,276,Friday
170,6/21/2014,6.0,5.68,2.0,16.0,12.0,3.0,0.0,3.0,2014,6,276,Saturday
171,6/22/2014,4.0,1.02,4.0,18.0,8.0,0.0,2.0,3.0,2014,6,276,Sunday
172,6/23/2014,2.34,7.68,3.0,25.2,12.0,0.0,2.0,3.0,2014,6,276,Monday
173,6/24/2014,3.0,5.14,4.0,16.2,23.0,0.0,2.0,4.0,2014,6,276,Tuesday
174,6/25/2014,8.0,5.34,7.0,33.8,19.0,0.0,0.0,1.0,2014,6,276,Wednesday
175,6/26/2014,3.0,2.0,11.3,19.3,14.0,0.0,0.0,1.0,2014,6,276,Thursday
176,6/27/2014,4.34,1.0,6.0,32.3,13.0,0.0,1.0,3.0,2014,6,276,Friday
177,6/28/2014,0.34,5.34,5.0,20.0,14.0,1.0,1.0,5.0,2014,6,276,Saturday
178,6/29/2014,0.0,1.0,1.0,10.0,1.0,0.0,0.0,1.0,2014,6,276,Sunday
179,6/30/2014,6.0,5.34,1.0,25.0,6.0,0.0,0.0,0.0,2014,6,276,Monday
180,7/1/2014,4.34,2.34,2.0,19.0,10.0,0.0,0.0,2.0,2014,7,276,Tuesday
181,7/2/2014,3.0,0.34,4.0,21.6,7.0,0.0,6.0,3.0,2014,7,276,Wednesday
182,7/3/2014,2.33,5.68,7.0,12.5,7.0,2.0,0.0,2.0,2014,7,276,Thursday
183,7/4/2014,4.34,4.7,7.0,10.5,14.0,0.0,2.0,3.0,2014,7,276,Friday
184,7/5/2014,3.34,4.34,6.0,37.0,11.0,1.0,0.0,0.0,2014,7,276,Saturday
185,7/6/2014,4.0,2.0,3.0,10.2,9.0,0.0,0.0,0.0,2014,7,276,Sunday
186,7/7/2014,2.0,3.34,4.0,13.0,11.0,0.0,0.0,4.0,2014,7,276,Monday
187,7/8/2014,6.34,2.34,3.0,14.0,3.0,0.0,5.0,1.0,2014,7,276,Tuesday
188,7/9/2014,3.0,6.34,5.0,13.0,6.0,4.0,0.0,2.2,2014,7,276,Wednesday
189,7/10/2014,2.33,4.66,8.0,21.2,32.0,0.0,5.0,4.0,2014,7,276,Thursday
190,7/11/2014,2.0,1.68,3.2,16.5,17.0,0.0,5.0,1.0,2014,7,276,Friday
191,7/12/2014,8.34,2.68,10.5,28.1,12.0,3.0,12.0,4.0,2014,7,276,Saturday
192,7/13/2014,2.0,1.34,1.0,17.0,2.0,0.0,0.0,0.0,2014,7,276,Sunday
193,7/14/2014,5.0,3.04,3.0,11.8,19.0,1.0,2.0,2.0,2014,7,276,Monday
194,7/15/2014,3.34,1.68,1.0,15.6,18.0,0.0,0.0,1.3,2014,7,276,Tuesday
195,7/16/2014,4.0,3.34,3.0,13.0,12.0,1.0,4.0,0.0,2014,7,276,Wednesday
196,7/17/2014,2.0,3.0,5.0,25.0,14.0,1.0,0.0,1.0,2014,7,276,Thursday
197,7/18/2014,9.0,2.34,1.5,14.2,6.0,3.0,0.0,4.0,2014,7,276,Friday
198,7/19/2014,7.33,7.02,6.0,8.4,10.0,0.0,6.0,6.0,2014,7,276,Saturday
199,7/20/2014,3.0,0.34,1.0,8.0,5.0,0.0,0.0,0.1,2014,7,276,Sunday
200,7/21/2014,3.0,4.68,8.0,20.0,13.0,1.0,0.0,2.0,2014,7,276,Monday
201,7/22/2014,5.0,5.68,3.0,9.0,7.0,0.0,1.0,2.0,2014,7,276,Tuesday
202,7/23/2014,2.67,6.37,2.0,8.0,19.0,0.0,0.0,3.0,2014,7,276,Wednesday
203,7/24/2014,5.34,2.0,4.4,23.0,5.0,0.0,0.0,2.0,2014,7,276,Thursday
204,7/25/2014,5.0,2.02,7.5,10.0,15.0,1.0,1.0,2.0,2014,7,276,Friday
205,7/26/2014,4.0,6.68,6.2,36.2,13.0,0.0,0.0,4.0,2014,7,276,Saturday
206,7/27/2014,3.0,1.34,2.0,10.0,5.0,0.0,6.0,1.0,2014,7,276,Sunday
207,7/28/2014,2.0,1.34,2.0,9.1,9.0,0.0,0.0,2.0,2014,7,276,Monday
208,7/29/2014,2.34,0.68,1.0,13.0,15.0,3.0,0.0,5.0,2014,7,276,Tuesday
209,7/30/2014,0.68,1.34,5.0,13.5,14.0,0.0,6.0,4.5,2014,7,276,Wednesday
210,7/31/2014,3.0,0.34,4.0,10.5,8.0,0.0,0.0,1.0,2014,7,276,Thursday
211,8/1/2014,2.0,1.0,2.2,14.0,17.0,1.0,0.0,1.0,2014,8,276,Friday
212,8/2/2014,5.0,2.01,6.0,29.0,12.0,0.0,5.0,3.0,2014,8,276,Saturday
213,8/3/2014,5.0,1.0,3.0,6.0,5.0,5.0,0.0,0.0,2014,8,276,Sunday
214,8/4/2014,4.0,5.02,6.0,21.5,14.0,0.0,0.0,4.0,2014,8,276,Monday
215,8/5/2014,2.0,1.34,3.0,17.1,9.0,0.0,0.0,0.0,2014,8,276,Tuesday
216,8/6/2014,6.0,5.0,1.4,17.0,7.0,1.0,1.0,1.0,2014,8,276,Wednesday
217,8/7/2014,3.34,2.68,3.0,33.0,13.0,1.0,0.0,2.0,2014,8,276,Thursday
218,8/8/2014,5.02,4.02,5.0,13.0,12.0,3.0,2.0,2.0,2014,8,276,Friday
219,8/9/2014,4.0,1.34,6.0,19.0,24.0,3.0,0.0,5.9,2014,8,276,Saturday
220,8/10/2014,4.0,0.34,4.0,3.0,4.0,0.0,0.0,2.0,2014,8,276,Sunday
221,8/11/2014,8.0,5.36,9.2,20.0,18.0,0.0,0.0,2.0,2014,8,276,Monday
222,8/12/2014,0.0,1.36,4.5,10.0,8.0,1.0,0.0,4.6,2014,8,276,Tuesday
223,8/13/2014,1.34,3.34,1.0,20.3,11.0,0.0,0.0,7.0,2014,8,276,Wednesday
224,8/14/2014,4.0,2.34,6.0,14.4,13.0,0.0,0.0,6.0,2014,8,276,Thursday
225,8/15/2014,4.34,4.02,7.0,13.2,15.0,2.0,3.0,2.0,2014,8,276,Friday
226,8/16/2014,8.0,2.43,5.0,19.0,27.0,2.0,0.0,1.0,2014,8,276,Saturday
227,8/17/2014,0.34,0.68,2.0,6.5,7.0,0.0,0.0,1.0,2014,8,276,Sunday
228,8/18/2014,4.34,6.0,3.1,16.5,21.0,3.0,10.0,2.0,2014,8,276,Monday
229,8/19/2014,11.34,6.35,5.0,16.1,13.0,1.0,3.0,1.1,2014,8,276,Tuesday
230,8/20/2014,5.34,5.34,1.4,9.0,10.0,2.0,0.0,1.0,2014,8,276,Wednesday
231,8/21/2014,3.0,1.0,2.0,18.0,16.0,1.0,0.0,2.2,2014,8,276,Thursday
232,8/22/2014,6.34,1.34,5.0,19.0,15.0,0.0,0.0,1.0,2014,8,276,Friday
233,8/23/2014,3.0,3.02,1.0,25.6,5.0,0.0,0.0,4.0,2014,8,276,Saturday
234,8/24/2014,3.0,2.175,3.0,7.0,12.0,0.0,1.0,0.0,2014,8,276,Sunday
235,8/25/2014,4.01,3.175,3.0,21.2,21.0,0.0,0.0,0.0,2014,8,276,Monday
236,8/26/2014,2.34,5.34,3.0,31.0,14.0,1.0,1.0,3.0,2014,8,276,Tuesday
237,8/27/2014,3.34,8.02,4.0,21.0,14.0,0.0,0.0,3.0,2014,8,276,Wednesday
238,8/28/2014,2.34,5.36,6.0,32.67,19.0,0.0,4.0,0.0,2014,8,276,Thursday
239,8/29/2014,6.34,3.68,5.0,26.28,18.0,1.0,0.0,3.0,2014,8,276,Friday
240,8/30/2014,3.68,3.02,7.0,13.0,13.0,1.0,0.0,4.0,2014,8,276,Saturday
241,8/31/2014,0.0,2.68,1.0,15.0,13.0,0.0,7.0,2.0,2014,8,276,Sunday
242,9/1/2014,3.34,1.715,1.0,15.5,15.0,0.0,0.0,5.5,2014,9,276,Monday
243,9/2/2014,2.34,4.68,5.2,20.14,7.0,0.0,2.0,3.0,2014,9,276,Tuesday
244,9/3/2014,7.0,6.34,4.0,22.18,12.0,0.0,2.0,3.0,2014,9,276,Wednesday
245,9/4/2014,5.68,5.34,3.0,17.6,21.0,1.0,0.0,1.0,2014,9,276,Thursday
246,9/5/2014,4.0,0.779,3.0,15.6,15.0,2.0,0.0,2.0,2014,9,276,Friday
247,9/6/2014,5.34,5.0,2.4,15.7,30.0,2.0,5.0,3.1,2014,9,276,Saturday
248,9/7/2014,2.0,5.515,5.0,7.0,9.0,0.0,0.0,1.0,2014,9,276,Sunday
249,9/8/2014,1.0,5.36,3.5,20.8,15.0,0.0,1.0,4.0,2014,9,276,Monday
250,9/9/2014,6.34,2.34,4.0,29.2,17.0,0.0,2.0,1.2,2014,9,276,Tuesday
251,9/10/2014,4.34,3.34,3.5,37.8,12.0,0.0,0.0,1.0,2014,9,276,Wednesday
252,9/11/2014,0.0,1.34,4.0,32.2,15.0,0.0,10.0,0.0,2014,9,276,Thursday
253,9/12/2014,2.68,2.67,1.0,20.0,19.0,0.0,8.0,1.0,2014,9,276,Friday
254,9/13/2014,3.0,5.36,4.4,56.85,20.0,0.0,1.0,3.0,2014,9,276,Saturday
255,9/14/2014,1.34,2.0,2.0,19.5,6.0,0.0,6.0,0.0,2014,9,276,Sunday
256,9/15/2014,1.34,3.0,5.4,28.2,9.0,0.0,1.0,0.0,2014,9,276,Monday
257,9/16/2014,4.0,2.68,0.0,59.3,13.0,0.0,0.0,0.0,2014,9,276,Tuesday
258,9/17/2014,2.34,6.0,4.0,39.6,11.0,2.0,19.0,4.0,2014,9,276,Wednesday
259,9/18/2014,3.0,2.02,1.0,44.0,7.0,0.0,0.0,1.0,2014,9,276,Thursday
260,9/19/2014,2.0,4.34,7.8,23.0,8.0,0.0,22.0,0.0,2014,9,276,Friday
261,9/20/2014,4.34,1.855,4.5,20.6,14.0,1.0,2.0,0.0,2014,9,276,Saturday
